sku,name_ar,name_en,oem,vehicle_models,category_key,cost_rmb,image_file,source_file
GM-11127555212DF,صمام إعادة تدوير العادم EGR,Exhaust Gas Recirculation Valve (Egr Valve),1112 7555 212DF,,fuel-air-intake,12,GM-11127555212DF-1.jpg,CULU6339343
GM-11127588412DF,صمام إعادة تدوير العادم EGR,Exhaust Gas Recirculation Valve (Egr Valve),1112 7588 412DF,N20,fuel-air-intake,10,GM-11127588412DF-1.jpg,CULU6339343
GM-11377502022,جوان,Sealing Ring,1137 7502 022,,engine-components,6,GM-11377502022-1.jpg,CULU6339343
GM-11427537293,رادياتير,Radiator Rubber Ring,1142 7537 293,N52,cooling-system,4,GM-11427537293-1.jpg,CULU6339343
GM-11537550172,ثرموستات,Thermostat,1153 7550 172,"E70,N54",cooling-system,90,GM-11537550172-1.jpg,CULU6339343
GM-11537600584,ثرموستات,Thermostat,1153 7600 584,,cooling-system,90,GM-11537600584-1.jpg,CULU6339343
GM-11617560538,INTAKE AIR CONTROL VALVE - SMALL,Intake Air Control Valve - Small,1161 7560 538,"N52,E90,F18,F02",fuel-air-intake,110,GM-11617560538-1.jpg,CULU6339343
GM-11617579114,INTAKE AIR CONTROL VALVE - LARGE,Intake Air Control Valve - Large,1161 7579 114,"N52,E90,F18,F02",fuel-air-intake,110,GM-11617579114-1.jpg,CULU6339343
GM-11781433940,حساس أكسجين خلفي,Rear Oxygen Sensor,1178 1433 940,,sensors-electrical,50,GM-11781433940-1.jpg,CULU6339343
GM-11787535269,FRONT OXYGEN SENSOR,Front Oxygen Sensor,1178 7535 269,,sensors-electrical,95,GM-11787535269-1.jpg,CULU6339343
GM-11787569968,حساس أكسجين خلفي,Rear Oxygen Sensor,1178 7569 968,,sensors-electrical,50,GM-11787569968-1.jpg,CULU6339343
GM-11787570104,FRONT OXYGEN SENSOR,Front Oxygen Sensor,1178 7570 104,,sensors-electrical,95,GM-11787570104-1.jpg,CULU6339343
GM-13621730033,حساس هواء,Mass Air Flow Sensor,1362 1730 033,E39,fuel-air-intake,120,GM-13621730033-1.jpg,CULU6339343
GM-13907643106,CHARCOAL CANISTER SOLENOID VALVE,Charcoal Canister Solenoid Valve,1390 7643 106,,sensors-electrical,30,GM-13907643106-1.jpg,CULU6339343
GM-17112248409,وصلة ماسورة مياه,Water Pipe Connector,1711 2248 409,,cooling-system,25,GM-17112248409-1.jpg,CULU6339343
GM-17217529499,مبرد زيت الفتيس,Transmission Oil Cooler,1721 7529 499,"N46,E90,E84",cooling-system,110,GM-17217529499-1.jpg,CULU6339343
GM-31226757024,رمان بلي أمامي,Front Wheel Hub,3122 6757 024,E46,driveline-hub,80,GM-31226757024-1.jpg,CULU6339343
GM-32106792030,ذراع تعشيق يمين,Steering Tie Rod R,3210 6792 030,"F30,F35",steering,50,GM-32106792030-1.jpg,CULU6339343
GM-32216762243,ذراع تعشيق شمال,Steering Tie Rod L,3221 6762 243,"X1,E84,E90",steering,45,GM-32216762243-1.jpg,CULU6339343
GM-11428583895,مبرد زيت,Oil Cooler,1142 8583 895,"B58,G38,G12,B57",cooling-system,235,GM-11428583895-1.jpg,CULU6339343
GM-31121094465,مقص سفلي أمامي شمال,Front Wheel Lower Control Arm L,3112 1094 465,"E46,E85",suspension,140,GM-31121094465-1.jpg,CULU6339343
GM-31121094466,مقص سفلي أمامي يمين,Front Wheel Lower Control Arm R,3112 1094 466,"E46,E85",suspension,140,GM-31121094466-1.jpg,CULU6339343
GM-31206850154,رمان بلي أمامي,Front Wheel Hub,3120 6850 154,"X3,F25",driveline-hub,160,GM-31206850154-1.jpg,CULU6339343
GM-31216765157,رمان بلي أمامي,Front Wheel Hub,3121 6765 157,E90,driveline-hub,130,GM-31216765157-1.jpg,CULU6339343
GM-11117547842,جوان أمامي لعمود الكرنك,Crankshaft Front Oil Seal,1111 7547 842,,engine-components,12,GM-11117547842-1.jpg,CULU6339343
GM-11148512597A,TIMING COVER,Timing Cover,1114 8512 597A,B38,engine-components,85,GM-11148512597A-1.jpg,CULU6339343
GM-11537572159,خرطوم تبريد,Coolant Hose,1153 7572 159,"E81,E87",cooling-system,20,GM-11537572159-1.jpg,CULU6339343
GM-17111742231,غطاء رادياتير,Radiator Cap,1711 1742 231,,cooling-system,10,GM-17111742231-1.jpg,CULU6339343
GM-17113400017,علبة رادياتير كاملة,Radiator Assembly Box,1711 3400 017,"X3,E83",cooling-system,60,GM-17113400017-1.jpg,CULU6339343
GM-17117507973,علبة رادياتير كاملة,Radiator Assembly Box,1711 7507 973,E60,cooling-system,42,GM-17117507973-1.jpg,CULU6339343
GM-17127519256,ماسورة مياه علوية,Upper Water Pipe,1712 7519 256,E60,cooling-system,45,GM-17127519256-1.jpg,CULU6339343
GM-17127520668,خرطوم تبريد,Coolant Hose,1712 7520 668,E46,cooling-system,40,GM-17127520668-1.jpg,CULU6339343
GM-17127521775,ماسورة خزان مياه مساعد,Auxiliary Water Tank Water Pipe,1712 7521 775,"E60,E63",cooling-system,20,GM-17127521775-1.jpg,CULU6339343
GM-17128651298,خرطوم تبريد,Coolant Hose,1712 8651 298,,cooling-system,15,GM-17128651298-1.jpg,CULU6339343
GM-24117571227,TRANSMISSION OIL PAN,Transmission Oil Pan,2411 7571 227,E90,engine-components,75,GM-24117571227-1.jpg,CULU6339343
GM-31126760181,مقص سفلي أمامي شمال - مستقيم,Front Wheel Lower Control Arm L - Straight,3112 6760 181,"E60,E63",suspension,70,GM-31126760181-1.jpg,CULU6339343
GM-31126760182,مقص سفلي أمامي يمين - مستقيم,Front Wheel Lower Control Arm R - Straight,3112 6760 182,"E60,E63",suspension,70,GM-31126760182-1.jpg,CULU6339343
GM-31126883017,مقص سفلي أمامي شمال,Front Wheel Lower Control Arm L,3112 6883 017,"F52,F49,F48",suspension,165,GM-31126883017-1.jpg,CULU6339343
GM-31126883018,مقص سفلي أمامي يمين,Front Wheel Lower Control Arm R,3112 6883 018,"F52,F49,F48",suspension,165,GM-31126883018-1.jpg,CULU6339343
GM-31336771352,مطاط صدمات أمامي,Front Buffer Rubber,3133 6771 352,E90,suspension,5,GM-31336771352-1.jpg,CULU6339343
GM-32411097164,POWER STEERING FLUID RESERVOIR,Power Steering Fluid Reservoir,3241 1097 164,"E46,E60,E90",steering,25,GM-32411097164-1.jpg,CULU6339343
GM-33176770947,REAR AXLE RUBBER,Rear Axle Rubber,3317 6770 947,,driveline-hub,25,GM-33176770947-1.jpg,CULU6339343
GM-11117568264,جوان أمامي لعمود الكرنك,Crankshaft Front Oil Seal,1111 7568 264,,engine-components,10,GM-11117568264-1.jpg,CULU6339343
GM-11127611277,غطاء التاكيهات,Valve Cover,1112 7611 277,"B38,F45,F48,F20",engine-components,200,GM-11127611277-1.jpg,CULU6339343
GM-11537510959,ثرموستات,Thermostat,1153 7510 959,E90,cooling-system,55,GM-11537510959-1.jpg,CULU6339343
GM-17138570079,خزان مياه مساعد,Auxiliary Water Tank,1713 8570 079,,cooling-system,90,GM-17138570079-1.jpg,CULU6339343
GM-24117571217,TRANSMISSION OIL PAN - 6 - SPEED,Transmission Oil Pan - 6 - Speed,2411 7571 217,,engine-components,70,GM-24117571217-1.jpg,CULU6339343
GM-33207598037,REAR HALF - SHAFT ASSEMBLY L,Rear Half - Shaft Assembly L,3320 7598 037,,driveline-hub,280,GM-33207598037-1.jpg,CULU6339343
GM-33207598038,REAR HALF - SHAFT ASSEMBLY R,Rear Half - Shaft Assembly R,3320 7598 038,,driveline-hub,280,GM-33207598038-1.jpg,CULU6339343
GM-11281435594,بكرة,Pulley,1128 1435 594,E46,engine-components,20,GM-11281435594-1.jpg,CULU6339343
GM-11281748131,بكرة,Pulley,1128 1748 131,,engine-components,20,GM-11281748131-1.jpg,CULU6339343
GM-11377548387,CYLINDER HEAD MOTOR,Cylinder Head Motor,1137 7548 387,,engine-components,125,GM-11377548387-1.jpg,CULU6339343
GM-22116761089,كرسي مكينة,Engine Mount Rubber - L,2211 6761 089,E60,engine-transmission-mounts,70,GM-22116761089-1.jpg,CULU6339343
GM-22116761090,كرسي مكينة,Engine Mount Rubber - R,2211 6761 090,E60,engine-transmission-mounts,70,GM-22116761090-1.jpg,CULU6339343
GM-22116859407,كرسي مكينة شمال,Engine Mount Rubber L,2211 6859 407,"F20,F30,F36",engine-transmission-mounts,105,GM-22116859407-1.jpg,CULU6339343
GM-22116859408,كرسي مكينة يمين,Engine Mount Rubber R,2211 6859 408,"F20,F30,F36",engine-transmission-mounts,105,GM-22116859408-1.jpg,CULU6339343
GM-22316853453,كرسي فتيس,Transmission Rubber,2231 6853 453,,engine-transmission-mounts,65,GM-22316853453-1.jpg,CULU6339343
GM-11518616992,طلمبة مياه مساعدة,Auxiliary Water Pump,1151 8616 992,"F20,F30,F35",cooling-system,70,GM-11518616992-1.jpg,CULU6339343
GM-11527505302,COUPLER,Coupler,1152 7505 302,"E38,E39,E53",misc-accessories,88,GM-11527505302-1.jpg,CULU6339343
GM-11531739752,ثرموستات,Thermostat,1153 1739 752,,cooling-system,35,GM-11531739752-1.jpg,CULU6339343
GM-11617501566,OIL - WATER SEPARATOR,Oil - Water Separator,1161 7501 566,"E60,E53",misc-accessories,35,GM-11617501566-1.jpg,CULU6339343
GM-12618638755,OIL LEVEL SENSOR,Oil Level Sensor,1261 8638 755,,sensors-electrical,100,GM-12618638755-1.jpg,CULU6339343
GM-17127647293,ماسورة خزان مياه مساعد,Auxiliary Water Tank Water Pipe,1712 7647 293,"F20,F30",cooling-system,25,GM-17127647293-1.jpg,CULU6339343
GM-22116859413,كرسي مكينة شمال,Engine Mount Rubber L,2211 6859 413,"F20,F30,F35,F32",engine-transmission-mounts,65,GM-22116859413-1.jpg,CULU6339343
GM-22116859414,كرسي مكينة يمين,Engine Mount Rubber R,2211 6859 414,"F20,F30,F35,F32",engine-transmission-mounts,65,GM-22116859414-1.jpg,CULU6339343
GM-31306852158,كرسي مساعد أمامي,Front Shock Absorber Top Rubber - With Bearing,3130 6852 158,"X3,F25",suspension,75,GM-31306852158-1.jpg,CULU6339343
GM-11120035738,جوان غطاء التاكيهات,Valve Cover Gasket,1112 0035 738,E90,engine-components,20,GM-11120035738-1.jpg,CULU6339343
GM-11428651710,مبرد زيت,Oil Cooler Assembly,1142 8651 710,,cooling-system,200,GM-11428651710-1.jpg,CULU6339343
GM-11518637953,طلمبة مياه مساعدة,Auxiliary Water Pump,1151 8637 953,,cooling-system,260,GM-11518637953-1.jpg,CULU6339343
GM-11537500733,خرطوم تبريد,Coolant Hose,1153 7500 733,,cooling-system,30,GM-11537500733-1.jpg,CULU6339343
GM-11537591889,ماسورة مياه بلوك,Cylinder Block Water Pipe,1153 7591 889,,cooling-system,30,GM-11537591889-1.jpg,CULU6339343
GM-11537598234,خرطوم تبريد,Coolant Hose,1153 7598 234,"F20,F23",cooling-system,20,GM-11537598234-1.jpg,CULU6339343
GM-11537642854,حساس حرارة - وحدة طاقة حرارية,Thermostat - Thermal Energy Module,1153 7642 854,B58,cooling-system,320,GM-11537642854-1.jpg,CULU6339343
GM-11617531423,OIL - WATER SEPARATOR,Oil - Water Separator,1161 7531 423,"N52,E90,E60",misc-accessories,100,GM-11617531423-1.jpg,CULU6339343
GM-12138615991,IGNITION COIL,Ignition Coil,1213 8615 991,,sensors-electrical,55,GM-12138615991-1.jpg,CULU6339343
GM-65816905133,OUTDOOR TEMPERATURE SENSOR,Outdoor Temperature Sensor,6581 6905 133,,sensors-electrical,10,GM-65816905133-1.jpg,CULU6339343
GM-11127645173F,صمام إعادة تدوير العادم EGR,Exhaust Gas Recirculation Valve (Egr Valve),1112 7645 173F,B58,fuel-air-intake,20,GM-11127645173F-1.jpg,CULU6339343
GM-11137548031,جوان كرتير الزيت,Oil Pan Gasket,1113 7548 031,N52,engine-components,35,GM-11137548031-1.jpg,CULU6339343
GM-17111436381,خزان مياه مساعد,Auxiliary Water Tank,1711 1436 381,E39,cooling-system,60,GM-17111436381-1.jpg,CULU6339343
GM-17127619684,خرطوم تبريد,Coolant Hose,1712 7619 684,"F07,F10,F18",cooling-system,25,GM-17127619684-1.jpg,CULU6339343
GM-17137601948,خزان مياه مساعد,Auxiliary Water Tank,1713 7601 948,F10,cooling-system,85,GM-17137601948-1.jpg,CULU6339343
GM-17137609469,خزان مياه مساعد,Auxiliary Water Tank,1713 7609 469,"F30,F35",cooling-system,55,GM-17137609469-1.jpg,CULU6339343
GM-17138610652,خزان مياه مساعد,Auxiliary Water Tank,1713 8610 652,,cooling-system,130,GM-17138610652-1.jpg,CULU6339343
GM-24117624192,TRANSMISSION OIL PAN - 8 - SPEED,Transmission Oil Pan - 8 - Speed,2411 7624 192,,engine-components,75,GM-24117624192-1.jpg,CULU6339343
GM-31206794850,رمان بلي أمامي,Front Wheel Hub,3120 6794 850,"F30,F35",driveline-hub,120,GM-31206794850-1.jpg,CULU6339343
GM-11287598833,TENSIONER / FRICTION WHEEL,Tensioner / Friction Wheel,1128 7598 833,,engine-components,128,GM-11287598833-1.jpg,CULU6339343
GM-11428642289,مبرد زيت,Oil Cooler Assembly,1142 8642 289,N52,cooling-system,175,GM-11428642289-1.jpg,CULU6339343
GM-11531739752-A9A0,ثرموستات,Thermostat,1153 1739 752,,cooling-system,30,GM-11531739752-A9A0-1.jpg,CULU6339343
GM-11538631943,حساس حرارة - وحدة طاقة حرارية,Thermostat - Thermal Energy Module,1153 8631 943,,cooling-system,650,GM-11538631943-1.jpg,CULU6339343
GM-11667542498,طلمبة تخلية,Vacuum Pump,1166 7542 498,N46,fuel-air-intake,155,GM-11667542498-1.jpg,CULU6339343
GM-11787545074,حساس أكسجين خلفي,Rear Oxygen Sensor,1178 7545 074,N54,sensors-electrical,50,GM-11787545074-1.jpg,CULU6339343
GM-13627566989,حساس هواء,Mass Air Flow Sensor,1362 7566 989,E90,fuel-air-intake,100,GM-13627566989-1.jpg,CULU6339343
GM-13627585680,حساس هواء,Mass Air Flow Sensor,1362 7585 680,E90,fuel-air-intake,100,GM-13627585680-1.jpg,CULU6339343
GM-31306881929,كرسي مساعد أمامي,Front Shock Absorber Top Rubber,3130 6881 929,,suspension,75,GM-31306881929-1.jpg,CULU6339343
GM-51218243616,INNER DOOR HANDLE BASE R,Inner Door Handle Base R,5121 8243 616,"X5,E53",interior-trim,50,GM-51218243616-1.jpg,CULU6339343
GM-61318379091,AIRBAG CLOCK SPRING,Airbag Clock Spring,6131 8379 091,E46,sensors-electrical,100,GM-61318379091-1.jpg,CULU6339343
GM-64116834917,طلمبة مياه مساعدة,Auxiliary Water Pump,6411 6834 917,B48,cooling-system,90,GM-64116834917-1.jpg,CULU6339343
GM-64116927090,FAN RESISTOR,Fan Resistor,6411 6927 090,"X5,E70,E90",cooling-system,75,GM-64116927090-1.jpg,CULU6339343
GM-11127552281DF,صمام إعادة تدوير العادم EGR,Exhaust Gas Recirculation Valve (Egr Valve),1112 7552 281DF,N52,fuel-air-intake,13,GM-11127552281DF-1.jpg,CULU6339343
GM-11127588417,EXHAUST HOSE,Exhaust Hose,1112 7588 417,,cooling-system,35,GM-11127588417-1.jpg,CULU6339343
GM-11127646552DF,صمام إعادة تدوير العادم EGR,Exhaust Gas Recirculation Valve (Egr Valve),1112 7646 552DF,,fuel-air-intake,15,GM-11127646552DF-1.jpg,CULU6339343
GM-11537639997,خرطوم تبريد,Coolant Hose,1153 7639 997,,cooling-system,35,GM-11537639997-1.jpg,CULU6339343
GM-11667622380,طلمبة تخلية,Vacuum Pump,1166 7622 380,N20,fuel-air-intake,175,GM-11667622380-1.jpg,CULU6339343
GM-17111436251,علبة رادياتير كاملة,Radiator Assembly Box,1711 1436 251,E46,cooling-system,50,GM-17111436251-1.jpg,CULU6339343
